0 0 1.9313879454261367e9 1.9313879454261367e9 0 0 0
1 0 1.861296143674498e9 1.861296143674498e9 0 0 0
2 0 1.5974979139075377e9 1.5974979139075377e9 0 0 0
3 0 1.912599149914367e9 1.912599149914367e9 0 0 0
4 0 2.095629134226205e9 2.095629134226205e9 0 0 0
5 0 2.6826028200186415e9 2.6826028200186415e9 0 0 0
6 0 3.3339221529233856e9 3.3339221529233856e9 0 0 0
7 0 3.826542260142001e9 3.826542260142001e9 0 0 0
8 0 5.148873111152428e9 5.148873111152428e9 0 0 0
9 0 5.4620620529044485e9 5.4620620529044485e9 0 0 0
0 1 2.9449821908090005e9 2.9449821908090005e9 0 0 0
1 1 3.9363657746584425e9 3.9363657746584425e9 0 0 0
2 1 3.9332247311647134e9 3.9332247311647134e9 0 0 0
3 1 3.9262654218475456e9 3.9262654218475456e9 0 0 0
4 1 3.750032040248212e9 3.750032040248212e9 0 0 0
5 1 4.2300026415922775e9 4.2300026415922775e9 0 0 0
6 1 4.877787077982371e9 4.877787077982371e9 0 0 0
7 1 5.591759458245734e9 5.591759458245734e9 0 0 0
8 1 6.470920763308654e9 6.470920763308654e9 0 0 0
9 1 7.436427175275748e9 7.436427175275748e9 0 0 0
0 2 4.926499557563437e9 4.926499557563437e9 0 0 0
1 2 4.642879578170641e9 4.642879578170641e9 0 0 0
2 2 6.649006173043276e9 6.649006173043276e9 0 0 0
3 2 7.787374325628856e9 7.787374325628856e9 0 0 0
4 2 8.468255784565607e9 8.468255784565607e9 0 0 0
5 2 8.159798764337411e9 8.159798764337411e9 0 0 0
6 2 8.31636187959018e9 8.31636187959018e9 0 0 0
7 2 9.019998247481342e9 9.019998247481342e9 0 0 0
8 2 9.698094857458164e9 9.698094857458164e9 0 0 0
9 2 1.100616063541357e10 1.100616063541357e10 0 0 0
0 3 5.612066742364893e9 5.612066742364893e9 0 0 0
1 3 7.091211290871131e9 7.091211290871131e9 0 0 0
2 3 8.729207535343594e9 8.729207535343594e9 0 0 0
3 3 9.602581672235495e9 9.602581672235495e9 0 0 0
4 3 1.1629289175248487e10 1.1629289175248487e10 0 0 0
5 3 1.5132117274595078e10 1.5132117274595078e10 0 0 0
6 3 1.661142605681269e10 1.661142605681269e10 0 0 0
7 3 1.6436452467941072e10 1.6436452467941072e10 0 0 0
8 3 1.5471488077643896e10 1.5471488077643896e10 0 0 0
9 3 1.7075943921837242e10 1.7075943921837242e10 0 0 0
0 4 1.1591041595394161e10 1.1591041595394161e10 0 0 0
1 4 1.0526671283122784e10 1.0526671283122784e10 0 0 0
2 4 1.2637342439066774e10 1.2637342439066774e10 0 0 0
3 4 1.4241872749963346e10 1.4241872749963346e10 0 0 0
4 4 1.599270259631883e10 1.599270259631883e10 0 0 0
5 4 1.957295238691256e10 1.957295238691256e10 0 0 0
6 4 2.4920989633950897e10 2.4920989633950897e10 0 0 0
7 4 2.710839155520484e10 2.710839155520484e10 0 0 0
8 4 3.582178666041003e10 3.582178666041003e10 0 0 0
9 4 3.169664020334493e10 3.169664020334493e10 0 0 0
0 5 1.8622040181892998e10 1.8622040181892998e10 0 0 0
1 5 2.1049942571850754e10 2.1049942571850754e10 0 0 0
2 5 2.0925675497238674e10 2.0925675497238674e10 0 0 0
3 5 2.193146674133514e10 2.193146674133514e10 0 0 0
4 5 2.4095146278730938e10 2.4095146278730938e10 0 0 0
5 5 2.637019609920936e10 2.637019609920936e10 0 0 0
6 5 3.1291952187725082e10 3.1291952187725082e10 0 0 0
7 5 3.931181355319878e10 3.931181355319878e10 0 0 0
8 5 4.460921785592178e10 4.460921785592178e10 0 0 0
9 5 6.09370592500795e10 6.09370592500795e10 0 0 0
0 6 2.228673658247694e10 2.228673658247694e10 0 0 0
1 6 2.584297416295545e10 2.584297416295545e10 0 0 0
2 6 3.586514120510577e10 3.586514120510577e10 0 0 0
3 6 4.155899192174945e10 4.155899192174945e10 0 0 0
4 6 4.131920379176669e10 4.131920379176669e10 0 0 0
5 6 3.888266124014094e10 3.888266124014094e10 0 0 0
6 6 4.2856559191398056e10 4.2856559191398056e10 0 0 0
7 6 4.809416668774499e10 4.809416668774499e10 0 0 0
8 6 6.155669547864685e10 6.155669547864685e10 0 0 0
9 6 7.150276656933827e10 7.150276656933827e10 0 0 0
0 7 3.10136061197611e10 3.10136061197611e10 0 0 0
1 7 3.354442728827813e10 3.354442728827813e10 0 0 0
2 7 3.742109175030934e10 3.742109175030934e10 0 0 0
3 7 4.903664742263418e10 4.903664742263418e10 0 0 0
4 7 6.532828766931006e10 6.532828766931006e10 0 0 0
5 7 7.256353192587857e10 7.256353192587857e10 0 0 0
6 7 6.635621288359148e10 6.635621288359148e10 0 0 0
7 7 7.658249593981041e10 7.658249593981041e10 0 0 0
8 7 7.81093629263291e10 7.81093629263291e10 0 0 0
9 7 8.983269880262822e10 8.983269880262822e10 0 0 0
0 8 4.621346204463781e10 4.621346204463781e10 0 0 0
1 8 4.5258626352130394e10 4.5258626352130394e10 0 0 0
2 8 5.0130952921381775e10 5.0130952921381775e10 0 0 0
3 8 5.9936139922976906e10 5.9936139922976906e10 0 0 0
4 8 7.225686806789496e10 7.225686806789496e10 0 0 0
5 8 9.027718774280266e10 9.027718774280266e10 0 0 0
6 8 1.0609870844915648e11 1.0609870844915648e11 0 0 0
7 8 1.1824816802517578e11 1.1824816802517578e11 0 0 0
8 8 1.2370333513803119e11 1.2370333513803119e11 0 0 0
9 8 1.2613512947255655e11 1.2613512947255655e11 0 0 0
0 9 7.276984382656346e10 7.276984382656346e10 0 0 0
1 9 7.440836826842198e10 7.440836826842198e10 0 0 0
